WARD2013_name;DHB_name
Albany Ward;Waitemata
Albert-Eden-Roskill Ward;Auckland
Ashburton District;Canterbury
Buller District;West Coast
Carterton District;Wairarapa
Central Hawkes Bay District;Hawke's Bay
Central Otago District;Southern
Chatham Islands Territory;Canterbury
Christchurch City;Canterbury
Clutha District;Southern
Dunedin City;Southern
Far North District;Northland
Franklin Ward;Counties Manukau
Gisborne District;Tairawhiti
Gore District;Southern
Grey District;West Coast
Hamilton City;Waikato
Hastings District;Hawke's Bay
Hauraki District;Waikato
Horowhenua District;MidCentral
Howick Ward;Counties Manukau
Hurunui District;Canterbury
Invercargill City;Southern
Kaikoura District;Canterbury
Kaipara District;Northland
Kapiti Coast District;Capital and Coast
Kawerau District;Bay of Plenty
Lower Hutt City;Hutt Valley
Mackenzie District;South Canterbury
Manawatu District;MidCentral
Manukau Ward;Counties Manukau
Manurewa-Papakura Ward;Counties Manukau
Marlborough District;Nelson Marlborough
Masterton District;Wairarapa
Matamata-Piako District;Waikato
Maungakiekie-Tamaki Ward;Auckland
Napier City;Hawke's Bay
Nelson City;Nelson Marlborough
New Plymouth District;Taranaki
North Shore Ward;Waitemata
Opotiki District;Bay of Plenty
Orakei Ward;Auckland
Otorohanga District;Waikato
Palmerston North City;MidCentral
Porirua City;Capital and Coast
Queenstown-Lakes District;Southern
Rangitikei District;Whanganui
Rodney Ward;Waitemata
Rotorua District;Lakes
Ruapehu District;Waikato
Selwyn District;Canterbury
South Taranaki District;Taranaki
South Waikato District;Waikato
South Wairarapa District;Wairarapa
Southland District;Southern
Stratford District;Taranaki
Tararua District;MidCentral
Tasman District;Nelson Marlborough
Taupo District;Lakes
Tauranga City;Bay of Plenty
Thames-Coromandel District;Waikato
Timaru District;South Canterbury
Upper Hutt City;Hutt Valley
Waikato District;Waikato
Waimakariri District;Canterbury
Waimate District;South Canterbury
Waipa District;Waikato
Wairoa District;Hawke's Bay
Waitakere Ward;Waitemata
Waitaki District;Southern
Waitemata and Gulf Ward;Auckland
Waitomo District;Waikato
Wellington City;Capital and Coast
Western Bay of Plenty District;Bay of Plenty
Westland District;West Coast
Whakatane District;Bay of Plenty
Whanganui District;Whanganui
Whangarei District;Northland
Whau Ward;Auckland
