CB2018_name,DHB2015_name
Albert-Eden,Auckland
Devonport-Takapuna,Waitemata
Franklin,Counties Manukau
Henderson-Massey,Waitemata
Hibiscus and Bays,Waitemata
Howick,Counties Manukau
Kaipatiki,Waitemata
Mangere-Otahuhu,Counties Manukau
Manurewa,Counties Manukau
Maungakiekie-Tamaki,Auckland
Onewhero-Tuakau,Counties Manukau
Orakei,Auckland
Otara-Papatoetoe,Counties Manukau
Papakura,Counties Manukau
Puketapapa,Auckland
Rodney,Waitemata
Upper Harbour,Waitemata
Waitakere Ranges,Waitemata
Waitemata,Auckland
Whau,Waitemata
"Great Barrier, Waiheke and Waitemata",Auckland
